entry_time,exit_time,side,entry_price,exit_price,qty,bars_held,score_at_entry,pnl,return_pct,exit_reason
2025-12-17 14:00:00+00:00,2025-12-17 15:00:00+00:00,LONG,89729.72639999999,88312.46660907859,0.02106257583470625,1,-3.2,-32.10115813898047,-0.016985286458277245,stop
2025-12-17 16:00:00+00:00,2025-12-18 13:00:00+00:00,SHORT,86884.4368,87881.55914369265,0.021643721882377998,21,4.5,-23.850990656009937,-0.012683306491305559,stop
2025-12-18 15:00:00+00:00,2025-12-18 17:00:00+00:00,LONG,88522.751592,87029.19015530385,0.021223242059665297,2,-3.3,-33.933684714232285,-0.018061939704651368,stop
2025-12-18 18:00:00+00:00,2025-12-19 03:00:00+00:00,SHORT,85865.24280800001,86643.890638858,0.021766140004510996,9,-3.9000000000000004,-19.201072471060673,-0.010273694944282185,stop
2025-12-19 04:00:00+00:00,2025-12-19 10:00:00+00:00,SHORT,86972.48630399999,88296.60081599999,0.02144491704696572,6,3.6,-30.650704491034983,-0.016433656493114023,signal
2025-12-19 11:00:00+00:00,2025-12-19 17:00:00+00:00,LONG,88216.977168,86846.01123146772,0.021106700168036566,6,-4.0,-31.153568166978957,-0.01673151559887457,stop
2025-12-19 20:00:00+00:00,2025-12-21 01:00:00+00:00,LONG,88092.14738399998,87921.14676799999,0.021065823046882093,29,-3.6,-5.826987662666532,-0.0031399914828439085,signal
2025-12-21 02:00:00+00:00,2025-12-21 08:00:00+00:00,SHORT,87852.9114,88464.88303145167,0.02107616348267267,6,5.3,-15.127675747438234,-0.008170045780754183,stop
2025-12-21 09:00:00+00:00,2025-12-21 13:00:00+00:00,LONG,88931.07799199999,88322.56366391119,0.020819935448770727,4,-5.5,-14.883474656862283,-0.008038433011535683,stop
2025-12-21 15:00:00+00:00,2025-12-21 16:00:00+00:00,SHORT,87965.161528,88393.87857599999,0.020981089135053674,1,4.2,-11.215073441921621,-0.00607663832791628,signal
2025-12-21 18:00:00+00:00,2025-12-21 21:00:00+00:00,LONG,88486.752816,88067.459624,0.020865444363574105,3,-4.0,-10.959068027794217,-0.005935642373001929,signal
2025-12-21 23:00:00+00:00,2025-12-22 02:00:00+00:00,LONG,88710.86196,87956.02284484988,0.020788005098751713,3,3.7,-17.895130635740056,-0.009703876470292644,stop
2025-12-22 03:00:00+00:00,2025-12-22 17:00:00+00:00,LONG,88821.01000799998,89062.35786425359,0.020721898582613665,14,4.7,2.7895371352688416,0.0015156080247018902,stop
2025-12-22 18:00:00+00:00,2025-12-22 19:00:00+00:00,LONG,89162.20274399998,88096.91137619555,0.020648865309330616,1,3.2,-24.19317771237772,-0.013140622373816233,stop
2025-12-23 00:00:00+00:00,2025-12-23 03:00:00+00:00,LONG,88790.77584,87701.59376814323,0.020680704626368934,3,2.6,-24.715044651210892,-0.013459477995497847,stop
2025-12-23 05:00:00+00:00,2025-12-23 16:00:00+00:00,SHORT,87631.728488,88049.12962403422,0.02086437326926802,11,-3.2,-10.908095705183497,-0.005965985835518912,stop
2025-12-23 17:00:00+00:00,2025-12-23 20:00:00+00:00,SHORT,87058.29759999999,88236.87849618706,0.02097676235239243,3,-4.0,-26.92908652268004,-0.014745958021636947,stop
2025-12-23 21:00:00+00:00,2025-12-24 22:00:00+00:00,SHORT,87593.259288,87867.91671467519,0.020787212688611653,25,3.9,-7.897771615300749,-0.004337481392576059,stop
2025-12-25 09:00:00+00:00,2025-12-25 15:00:00+00:00,SHORT,87386.04519199999,88049.0959892717,0.020818443222045593,6,4.5,-15.995057291833312,-0.008792157606999735,stop
2025-12-25 16:00:00+00:00,2025-12-25 22:00:00+00:00,LONG,88094.35915199999,87399.3209735473,0.020647780219259497,6,-3.3,-16.525128514946267,-0.00908496746252614,stop
2025-12-25 23:00:00+00:00,2025-12-26 02:00:00+00:00,SHORT,87101.94265599998,87851.80381373197,0.020811735433460682,3,5.7,-17.790566677319042,-0.009814171527607564,stop
2025-12-26 03:00:00+00:00,2025-12-26 14:00:00+00:00,LONG,88823.00159999999,87919.52037773262,0.020401070715193256,11,-4.0,-20.59542631887533,-0.011365600320514322,stop
2025-12-26 15:00:00+00:00,2025-12-28 14:00:00+00:00,SHORT,86990.36199199999,88031.56375103863,0.020750247362147752,47,3.8000000000000003,-23.784243005735615,-0.013176343772312072,stop
2025-12-28 18:00:00+00:00,2025-12-28 22:00:00+00:00,SHORT,87459.99598400001,87886.4729277934,0.020584479407749587,4,-2.8000000000000003,-10.94445533451679,-0.006079177333117295,stop
2025-12-28 23:00:00+00:00,2025-12-29 02:00:00+00:00,LONG,87947.59183199999,89017.49833535186,0.020478225980603254,3,4.9,19.735428489481748,0.010957974279641442,tp
2025-12-29 03:00:00+00:00,2025-12-29 07:00:00+00:00,LONG,90090.80503199999,89316.14535617172,0.020034907033086122,4,4.7,-17.6768755307699,-0.009793494971521011,stop
2025-12-29 08:00:00+00:00,2025-12-29 09:00:00+00:00,LONG,89519.48834399998,88740.14342306044,0.020123246158684147,1,3.9000000000000004,-17.83524715670972,-0.00990064528289038,stop
2025-12-29 12:00:00+00:00,2025-12-29 15:00:00+00:00,SHORT,87196.626848,87648.052392,0.020585412494693336,3,3.7,-11.452330940675939,-0.006380204964967154,signal
2025-12-29 16:00:00+00:00,2025-12-29 19:00:00+00:00,LONG,87602.015592,87173.93501599999,0.02049679435090269,3,-3.6,-10.923687562145545,-0.006083720137753055,signal
